feature,count,mean_activation,best_rank
26795,3886,0.11789442861871625,1
40054,1046,0.20967365033482957,1
17577,964,0.1391030298661889,1
17709,964,0.12105029114209023,1
24529,835,0.26086760956548644,1
3988,736,0.2203086526436812,1
21589,716,0.10986562549818162,1
7888,690,0.12751504204951336,1
38783,602,0.20366489481292294,1
40844,534,0.11828975032749917,1
9785,531,0.16314654066288764,1
18001,506,0.14760569834956538,1
5727,502,0.21433729298442483,1
29262,502,0.10278579297353072,1
45607,471,0.13564449825547556,1
47405,441,0.144720518703904,1
12010,406,0.16793724472446395,1
18992,399,0.11396466823000657,1
3818,386,0.09370350897543789,2
23681,358,0.12755207605035612,1
9886,350,0.18501652982618128,1
39295,345,0.14967393058797587,1
34546,330,0.19296275530800674,1
48296,314,0.1338084510699579,1
3490,313,0.1906483867488349,1
8338,310,0.12907413148110913,1
17899,308,0.11297608999075828,1
44332,304,0.14425217747492225,1
47763,283,0.1299668090029656,1
7355,281,0.10747244399955688,1
27034,274,0.15153109197960282,1
43571,270,0.26493362878207805,1
44849,263,0.13253773353682272,1
8661,260,0.1677373673910132,1
41736,253,0.10949756075506625,1
3503,251,0.1621441586143467,1
18237,242,0.1643560020145306,1
953,241,0.14804320327968518,1
48956,240,0.11915906692544619,1
41997,239,0.13031096089335167,1
36169,238,0.18577335804638243,1
12490,236,0.19475670635573944,1
34814,236,0.08324892937316228,3
22072,235,0.1511617362499237,1
6447,217,0.17650053584905265,1
5720,215,0.11093097221712733,1
7194,214,0.21419184261532587,1
23887,212,0.12187874886506009,1
39985,208,0.11620299654224744,1
24824,204,0.136280223142867,1
35213,203,0.11211030915599739,1
12318,202,0.11530228453402472,2
34286,195,0.10734839722132071,1
18418,192,0.17291747588509074,1
7188,191,0.09861966300541193,1
12243,190,0.11235752160611906,1
36703,183,0.12121631034085008,1
24836,181,0.15662277526947674,1
16607,180,0.11552886780765322,2
24800,174,0.10947567451445536,1
26967,171,0.14555746648046705,1
16426,168,0.1237485928549653,1
47494,167,0.11593004008253177,1
6401,163,0.12447077593554748,1
23416,163,0.10742649911371477,1
44475,162,0.12842928563003186,1
41283,162,0.12254859212739969,1
4301,161,0.15548349500442885,1
39298,157,0.14605973585016407,1
16926,157,0.10995166824691614,1
31286,154,0.19339235010859254,1
26325,154,0.11609466182817886,1
39778,147,0.11909990098808898,1
47281,146,0.10711975339544963,1
22065,145,0.14382085687127608,1
31623,144,0.13295888254005048,1
8068,144,0.12405828339979053,1
31945,142,0.11599501594901085,1
8726,141,0.1397117887828367,1
9538,141,0.11835169675925099,1
13399,140,0.18392684108444624,1
47497,140,0.1474064663052559,1
46714,137,0.12270647254738494,1
14218,137,0.09549898143014769,2
43101,136,0.11167890529203064,1
38618,136,0.11133674340432181,1
22463,134,0.10601431120242645,1
17445,133,0.13109363161755683,1
13737,133,0.1165549707479943,1
39311,133,0.10130796365832027,1
26352,131,0.11540278078604291,1
4,129,0.15233500348043072,1
14053,129,0.10775381086986194,1
48556,128,0.12494820734718814,1
6021,127,0.11625494065833843,1
45390,126,0.17212253158527707,1
22763,125,0.11608680701255798,1
32512,125,0.11592368030548096,1
16674,125,0.10822589004039765,1
43572,124,0.11185740715553684,1
16658,123,0.1192719170717689,1
5168,121,0.15648829567530922,1
34272,118,0.12299797052549104,1
26291,118,0.10656536414714182,2
14638,116,0.11953631287504887,1
8550,116,0.10285675435744483,1
4287,115,0.18800488140272056,1
6365,115,0.12960645958133366,1
2422,114,0.08896793545991705,4
36508,113,0.13942121753914166,1
46622,112,0.14816698698060854,1
21610,108,0.12018317115251664,1
7441,106,0.12834224357919874,1
46377,105,0.14855735848347346,1
43551,104,0.1559637219000321,1
45186,104,0.12162839492353109,1
6820,103,0.14864479699759808,1
7946,103,0.09589564547087383,2
13420,101,0.09316130993094775,1
12142,100,0.1323599611222744,1
39662,100,0.10441115636378527,2
664,99,0.14975383907857567,1
11724,99,0.12430981012305828,1
39140,97,0.10820031872729666,1
47184,96,0.14432892684514323,1
5798,95,0.11575896151755985,1
4669,95,0.11206243814606416,1
44433,94,0.12131893777466835,2
41163,94,0.09965288583585556,1
24475,93,0.13723841517843227,2
22410,92,0.11787974575291509,1
44866,91,0.19575419850074327,1
36413,91,0.17502047792895808,1
40663,90,0.16212802107135454,1
38227,90,0.1594736819465955,1
37777,89,0.15694535632481735,1
31091,89,0.11880671911025315,1
2615,87,0.11623203805808363,1
39217,85,0.15706403667435925,1
13292,85,0.1342101158464656,2
31183,85,0.12203707993030548,1
20041,85,0.0970379699678982,2
19772,83,0.23226431155779276,1
17343,83,0.14637806172291917,1
19249,81,0.11463691459761725,1
35375,79,0.1252934069761747,2
14229,79,0.11669996079010299,1
19366,78,0.11469230867731266,1
3687,77,0.20128274699310203,1
11567,77,0.12920754209354327,1
10061,75,0.11259881635506948,1
24373,74,0.13052592909819372,1
23076,74,0.122573728899698,1
7211,73,0.1486579190990696,1
33491,73,0.09774705012367196,2
17766,72,0.1459247734811571,1
8585,72,0.12351786334895426,1
15028,72,0.11146317256821527,1
37176,71,0.1313672003821588,1
48673,71,0.12497168254684395,1
1538,69,0.10439853856097096,3
8147,68,0.17734341104240978,1
37423,68,0.10743987428791382,1
40377,67,0.16929412533098193,1
4093,67,0.1340388766865232,1
48453,67,0.12648061963159646,1
33646,67,0.11226257948733087,1
17078,67,0.10917331055918736,1
39563,67,0.09511842295082647,3
17302,66,0.1140004840086807,1
41667,66,0.10695189711722461,1
11040,66,0.10626634661898468,1
8529,66,0.09390906300960165,1
9400,65,0.09958377400269876,2
45359,64,0.2105305944569409,1
23051,64,0.160098634660244,1
36712,64,0.12365668499842286,1
11150,64,0.12116158532444388,1
38526,64,0.1183883841149509,3
13776,64,0.1064239654224366,2
2014,63,0.14769344670431955,1
24943,63,0.11193738416546867,2
16151,63,0.08442955795261595,3
22451,62,0.1614667242092471,1
43561,62,0.11686507852808121,1
22543,61,0.18446916671561414,1
32669,61,0.17863237833390472,1
14522,60,0.17241157616178196,1
18105,60,0.11635810310641924,2
36565,60,0.10517743478218715,2
17746,59,0.14179148196668948,1
3702,59,0.09845019068758366,2
43040,58,0.12933240573981714,1
31751,58,0.11643834386406274,1
5742,57,0.15759403101707758,1
3532,57,0.11492698365136196,1
19092,56,0.2560283195759569,1
13134,56,0.11360429586576563,2
25565,55,0.22061519622802733,1
2017,55,0.14661102755503222,1
31690,55,0.10860822282054207,1
46058,55,0.0861261324449019,4
28874,54,0.1738599439462026,1
2598,54,0.15909262636193522,1
24091,54,0.14319813223900618,1
36406,53,0.17816658711658334,1
10227,53,0.17690202340764818,1
36203,53,0.13156408563537417,1
17534,53,0.11594311330678328,1
44885,53,0.11403749348982326,1
7326,52,0.13447895230582127,1
144,52,0.1264186640484975,1
16727,52,0.12376836644342312,1
45251,52,0.11370272246690896,1
8894,52,0.10587120271072938,1
19190,51,0.21241767324653327,1
15734,51,0.14309956147974612,1
7197,51,0.1079333412880991,1
46883,50,0.19547297462821006,1
40776,50,0.11849721103906631,1
6582,50,0.11002323262393475,2
3160,49,0.16856406507443408,1
26199,49,0.11517742321807511,1
27732,49,0.11422081382907166,2
13933,48,0.13164920018364987,2
13988,47,0.15382381481059054,1
45710,47,0.13716023938452943,1
7953,47,0.10645621761362603,3
25750,46,0.11645281023305395,1
32830,46,0.11252087856764378,2
15513,45,0.13899018698268467,1
2155,45,0.12076524189776844,1
23394,45,0.11758770147959391,2
27139,45,0.10690490172968971,1
39479,44,0.14225249754434283,1
30704,44,0.13469603793187576,3
3995,44,0.12006985904140906,1
23845,44,0.11556647870350968,2
47783,43,0.12236794153618258,2
32277,43,0.11163158714771271,1
47898,43,0.10529501008432965,4
40242,43,0.10277147105959959,2
26546,42,0.2114667913743428,1
11747,42,0.10004946820083119,1
2943,41,0.17724013801028088,2
4447,41,0.16237823101805476,4
39612,41,0.11154102661260744,3
9832,40,0.14008186161518096,1
6772,40,0.11466325316578149,1
21410,40,0.10678843855857849,3
7125,40,0.09777999818325042,2
13715,40,0.09503022637218236,3
41881,39,0.1128337005010018,1
37876,39,0.10820403962563245,2
620,38,0.16860991873239217,1
44404,38,0.12629410957819537,2
15550,38,0.11713811363044538,2
27195,38,0.10616174536316018,4
24644,38,0.10594581812620163,1
45831,38,0.10456994019056622,1
9387,38,0.10293063521385193,3
24795,38,0.09717100937115519,3
24181,37,0.13738883669311935,1
1527,37,0.10639544193809097,2
32953,37,0.09945087940306277,3
33622,37,0.09939621771509582,1
25148,37,0.09886242046549513,2
598,37,0.09555405720665648,4
17330,37,0.09431882544949248,2
15752,36,0.1333191781822178,2
29030,36,0.10738265762726466,2
28196,36,0.10672893499334653,3
42074,36,0.09530769164363544,1
37366,36,0.08623670372698042,6
35733,35,0.14248616908277784,1
40076,35,0.13783397546836307,1
35906,35,0.13424491371427263,1
30008,35,0.1269388186080115,1
26183,35,0.12605776063033514,1
39800,35,0.12161246623311724,1
40079,35,0.11734906775610787,1
36481,35,0.11216764450073242,3
10032,35,0.10187681487628392,3
23325,34,0.14581882164758794,1
38283,34,0.1368600450017873,1
14071,34,0.1358952419284512,1
48195,34,0.1241175808450755,2
29350,34,0.11561434365370694,2
48710,34,0.11456096347640543,1
33960,34,0.112963977324612,2
11286,34,0.11174389873357381,2
28851,34,0.0993421648574226,1
11433,34,0.09791313067955129,3
46004,33,0.12804788621989163,2
44368,32,0.12084076669998467,2
19696,32,0.11735925870016217,2
6199,32,0.11314272577874362,3
41888,32,0.09572439990006387,3
19382,32,0.09326820157002658,4
37065,31,0.121462382376194,1
36154,31,0.11859456233439906,1
22521,31,0.10120032150899211,2
27031,31,0.09160588249083489,2
18356,30,0.14110857223471004,1
14163,30,0.13660355309645336,1
31400,30,0.12590500017007192,1
20061,30,0.11407758643229803,4
30657,30,0.10974552407860756,3
315,30,0.09671149055163065,3
25841,30,0.09515790902078151,1
37122,29,0.12563557126398744,3
6349,29,0.1082491181020079,3
20176,29,0.10122933315819707,1
39717,29,0.09540675940184758,6
829,29,0.08812109252502179,5
27666,28,0.12796869927218982,1
34056,28,0.11521979048848152,2
442,28,0.11090380858097758,1
42072,28,0.10147154597299439,2
43271,27,0.16136109442622573,1
25173,27,0.14641569196074097,1
4178,27,0.12480048724898586,1
26729,27,0.11654555907955876,1
43981,27,0.11156966537237167,1
29855,27,0.11154595734896483,3
19798,27,0.10868396747995306,4
15163,27,0.1064327088771043,3
27707,27,0.10383332410344372,1
22392,27,0.10091719569431411,1
5871,27,0.10009146536941882,5
37724,27,0.09425200190809038,5
27199,27,0.09239010292070883,4
35985,27,0.08772889773050944,4
18293,26,0.15784384396213752,1
17256,26,0.14718525512860373,1
6383,26,0.13712339733655637,3
39013,26,0.1082954085790194,3
38702,26,0.09722984467561428,2
10907,26,0.09170510677190927,4
33316,26,0.08713849805868588,3
35082,25,0.12281034231185912,3
34413,25,0.11935564339160919,1
26360,25,0.11714637905359268,2
13021,25,0.11324611514806747,3
30002,25,0.10659668624401092,3
32030,25,0.10654667496681214,2
13515,25,0.1063841637969017,3
5041,25,0.09810408473014831,3
26431,25,0.08221431851387023,6
43392,24,0.11838685441762209,1
34906,24,0.10538804965714614,4
26055,24,0.10090248504032691,1
5719,24,0.10087466674546401,3
17352,24,0.08324386117359002,4
19023,23,0.13375620543956757,1
46432,23,0.1243902457797009,1
11258,23,0.12095907136150029,5
36758,23,0.11933828760748325,1
46967,23,0.11557475445063217,3
15279,23,0.11232307942017265,3
23032,23,0.10541097171928572,2
11418,23,0.10188349951868472,4
49029,23,0.09910196163084196,3
40147,23,0.09752621210139731,4
23383,23,0.09318253074003302,6
37700,22,0.12107783352786844,1
30429,22,0.10626473582603714,2
22445,22,0.10012730685147372,3
22910,22,0.09563401612368497,4
47857,22,0.09055114368146117,4
27929,22,0.08704251389611851,2
47484,21,0.13272105228333247,2
12754,21,0.12162484015737261,1
17071,21,0.11096219612019402,4
15791,21,0.1033854867730822,1
13365,21,0.1022145159187771,1
27794,21,0.101432713724318,3
35806,21,0.09901100929294314,4
13982,21,0.09580514296179726,2
1405,21,0.09347165801695415,3
16556,21,0.08957950416065398,4
35166,21,0.08909952959844045,3
17793,21,0.08864263054870423,4
38325,20,0.11389246061444283,2
7091,20,0.10979076623916625,2
27674,20,0.10930718518793583,2
41823,20,0.10825876444578171,2
12773,20,0.10311191976070404,1
17760,20,0.1019747644662857,4
47321,20,0.10078079774975776,2
8610,20,0.10033731050789356,5
45682,20,0.09812871888279914,1
7601,20,0.09197656586766242,4
1226,19,0.14249452987783834,1
27426,19,0.13369402838380715,1
11460,19,0.12641625576897672,2
34042,19,0.12103507001149028,1
34825,19,0.11796975371084716,2
25326,19,0.11362052904932123,1
32654,19,0.10719322452419683,5
15741,19,0.10650277686746497,2
46656,19,0.10560935500421022,3
20126,19,0.10313836053798073,3
25498,19,0.10293046502690566,6
634,19,0.09534722448963869,2
35378,19,0.08635296202019642,5
7045,18,0.15910960526929963,1
25556,18,0.13329548761248589,1
38137,18,0.11128346870342891,1
23058,18,0.10502655804157257,3
27515,18,0.1033430691394541,2
8583,18,0.10307779411474864,3
8764,18,0.10307102836668491,1
41771,18,0.10239246239264806,4
30750,18,0.09879533698161443,3
239,18,0.09758437756035063,3
38007,18,0.09333554903666179,3
17826,17,0.12940450976876652,2
24220,17,0.12371839758227854,2
23520,17,0.12355644913280711,3
22297,17,0.12007754953468547,1
14826,17,0.11933060954598819,1
9950,17,0.11638505230931674,2
48949,17,0.1092209386474946,2
33734,17,0.10614459479556364,3
37027,17,0.09880564580945407,3
48251,17,0.09760935955187854,2
47266,17,0.09656435338889852,4
8515,17,0.09298757595174453,4
19741,17,0.09227234212791219,5
25626,17,0.09169336890473086,4
33043,17,0.08968640535193331,4
36370,17,0.08732918693738825,4
19912,16,0.14595295954495668,1
9362,16,0.12846225127577782,2
37527,16,0.11433063074946404,3
48153,16,0.11404355522245169,2
47750,16,0.11135402321815491,3
29951,16,0.11129660811275244,4
5186,16,0.11108455620706081,2
28223,16,0.11040311586111784,2
35789,16,0.1062422739341855,1
13736,16,0.10525563871487975,4
24715,16,0.10061436332762241,2
42370,16,0.09927771985530853,2
30847,16,0.09771315660327673,1
10214,16,0.09588763490319252,4
42100,16,0.09323774930089712,2
35663,16,0.09317177440971136,4
3689,16,0.09124172292649746,5
9199,16,0.09060368314385414,3
596,15,0.12197213818629583,1
8360,15,0.1202983170747757,2
42374,15,0.11406630575656891,1
13374,15,0.1125522494316101,4
25622,15,0.11178803493579229,2
13775,15,0.10957260131835937,1
41127,15,0.10880924264589946,3
27166,15,0.10195328692595164,3
40784,15,0.10111883034308751,7
9649,15,0.09215481181939443,5
38546,15,0.08344484070936839,5
29749,15,0.08183337648709615,4
32395,14,0.12605035038931028,1
46956,14,0.12604116648435593,2
7439,14,0.12258207531911987,1
29115,14,0.11541345076901573,2
40409,14,0.1151909881404468,2
33406,14,0.10937972366809845,2
12526,14,0.10411161716495242,1
14594,14,0.09956436763916697,4
16164,14,0.09910497282232557,5
3217,14,0.09767320911799159,2
37121,14,0.09759959152766637,4
23500,14,0.09652379846998624,3
8936,14,0.09583338137183871,2
35700,14,0.09489473806960243,5
17920,14,0.09106390444295746,4
25837,14,0.0887407192162105,5
18075,14,0.08669890356915337,6
33206,14,0.08419718167611531,3
19781,14,0.08196734317711421,5
39154,13,0.13770573528913352,1
9915,13,0.11634668937096229,3
19923,13,0.11304722382472111,2
889,13,0.11275086036095253,3
17272,13,0.11222591021886238,1
36373,13,0.11135668937976544,4
3197,13,0.10473682788702157,5
1474,13,0.10293766856193542,2
48314,13,0.09873537318064617,2
43428,13,0.09788572100492623,3
43876,13,0.09772404054036507,3
45582,13,0.09709228116732377,4
7590,13,0.0965338687484081,3
34706,13,0.09543907756988819,5
975,13,0.09531147606097735,4
26248,13,0.09502827662688035,5
8728,13,0.09321605528776462,7
